URL	Label
%D0%BC%D0%B8%D1%80%D0%BA%D0%BE%D1%88%D0%B5%D0%BA.%D1%80%D1%84/literature/sovety-spetcialistov*	_cse_lmo7aip_90c
booksite.ru/archiv_new*	_cse_exclude_lmo7aip_90c
*.booksite.ru/*	_cse_lmo7aip_90c
ras.ru/*Download.aspx	_cse_lmo7aip_90c
*.ras.ru/*nature	_cse_lmo7aip_90c
*.stmus.ru/*	_cse_lmo7aip_90c
psyjournals.ru/psynews*	_cse_exclude_lmo7aip_90c
*.psyjournals.ru/*	_cse_lmo7aip_90c
*.bkrim.ru/*	_cse_lmo7aip_90c
24smi.org/celebrity/photo*	_cse_exclude_lmo7aip_90c
*.urokiistorii.ru/*	_cse_lmo7aip_90c
web-raketa.ru/content/docs*	_cse_lmo7aip_90c
*.academia.edu/*	_cse_lmo7aip_90c
*.scanlibs.com/*	_cse_lmo7aip_90c
elib.bsu.by/*	_cse_lmo7aip_90c
*.starieknigi.info/*	_cse_lmo7aip_90c
*.vostlit.info/*	_cse_lmo7aip_90c
psylib.ukrweb.net/*	_cse_lmo7aip_90c
odinblago.ru/sektovedenie*	_cse_exclude_lmo7aip_90c
*.odinblago.ru/*	_cse_lmo7aip_90c
philosophy_kaz.academic.ru/*	_cse_exclude_lmo7aip_90c
*.ponjatija.ru/*	_cse_lmo7aip_90c
rsdn.ru/article*	_cse_lmo7aip_90c
book.itep.ru/*	_cse_lmo7aip_90c
cito-web.yspu.org/*	_cse_lmo7aip_90c
aup.ru/books*	_cse_lmo7aip_90c
aup.ru/articles*	_cse_lmo7aip_90c
chemister.ru/forum*	_cse_exclude_lmo7aip_90c
chemiday.com/questions*	_cse_exclude_lmo7aip_90c
thermalinfo.ru/load*	_cse_lmo7aip_90c
ido.tsu.ru/schools*	_cse_lmo7aip_90c
edu.tsu.ru/eor/video*	_cse_lmo7aip_90c
chemistry-chemists.com/forum*	_cse_exclude_lmo7aip_90c
*.m-protect.ru/*Itemid	_cse_exclude_lmo7aip_90c
chem.folium.ru/*	_cse_lmo7aip_90c
moca.net.ua/indfiles*	_cse_lmo7aip_90c
*.vmso.ru/*file	_cse_lmo7aip_90c
vmso.ru/ru/info/news*	_cse_exclude_lmo7aip_90c
*.zldm.ru/*	_cse_lmo7aip_90c
aik-journal.urfu.ru/*	_cse_lmo7aip_90c
*.cbsafety.ru/*	_cse_lmo7aip_90c
anchem.ru/calendar*	_cse_exclude_lmo7aip_90c
wiki.technicalvision.ru/*	_cse_lmo7aip_90c
onznews.wdcb.ru/*news	_cse_exclude_lmo7aip_90c
forum.prihoz.ru/*	_cse_exclude_lmo7aip_90c
sbras.info/articles/overview*	_cse_exclude_lmo7aip_90c
ru.wikiislam.net/*	_cse_lmo7aip_90c
rvb.ru/18vek/karamzin/4igr*	_cse_lmo7aip_90c
rvb.ru/swassjan*	_cse_lmo7aip_90c
rvb.ru/philologica*	_cse_lmo7aip_90c
rvb.ru/belyi/bio*	_cse_lmo7aip_90c
rvb.ru/belyi/studies*	_cse_lmo7aip_90c
*.rvb.ru/*crit	_cse_lmo7aip_90c
rvb.ru/philologica*	_cse_lmo7aip_90c
*.trita.net/*	_cse_lmo7aip_90c
knigakulinara.ru/news*	_cse_exclude_lmo7aip_90c
ruscircus.ru/forum*	_cse_exclude_lmo7aip_90c
*.ruscircus.ru/*artcatalog	_cse_exclude_lmo7aip_90c
*.ruscircus.ru/*	_cse_lmo7aip_90c
*.vkarp.com/*	_cse_lmo7aip_90c
evolkov.net/cults*	_cse_exclude_lmo7aip_90c
*.evolkov.net/*	_cse_lmo7aip_90c
psylib.org.ua/*	_cse_lmo7aip_90c
7days.ru/stars/bio*	_cse_lmo7aip_90c
infoliolib.info/psih*	_cse_lmo7aip_90c
infoliolib.info/comp*	_cse_lmo7aip_90c
infoliolib.info/flit*	_cse_lmo7aip_90c
wroom.ru/story*	_cse_exclude_lmo7aip_90c
wroom.ru/forum*	_cse_exclude_lmo7aip_90c
*.portal-credo.ru/*netnav	_cse_exclude_lmo7aip_90c
*.portal-credo.ru/*anons	_cse_exclude_lmo7aip_90c
*.science-techno.ru/*	_cse_lmo7aip_90c
*.postnauka.ru/*	_cse_lmo7aip_90c
postnauka.ru/events*	_cse_exclude_lmo7aip_90c
*.dragonology.ru/*	_cse_lmo7aip_90c
btvt.narod.ru/*	_cse_lmo7aip_90c
*.slovarionline.com/*anglo	_cse_exclude_lmo7aip_90c
*.slovarionline.com/*russkij	_cse_exclude_lmo7aip_90c
*.slovarionline.com/*russko	_cse_exclude_lmo7aip_90c
*.slovarionline.com/*sonnik	_cse_exclude_lmo7aip_90c
*.slovarionline.com/*	_cse_lmo7aip_90c
teatron-journal.ru/foje/o-sajte*	_cse_exclude_lmo7aip_90c
teatron-journal.ru/foje/novosti*	_cse_exclude_lmo7aip_90c
zhizn-teatr.ru/afisha/performance*	_cse_lmo7aip_90c
tramvision.ru/lapsus*	_cse_lmo7aip_90c
tramvision.ru/bonus*	_cse_lmo7aip_90c
tramvision.ru/_stamp*	_cse_lmo7aip_90c
*.ign.com/*retsenziia	_cse_lmo7aip_90c
*.ovlr.ru/*slovar	_cse_lmo7aip_90c
*.1september.ru/*	_cse_lmo7aip_90c
rolandus.org/library*	_cse_lmo7aip_90c
*.zooatlas.ru/*article	_cse_lmo7aip_90c
sbras.ru/win/elbib*	_cse_lmo7aip_90c
*.topwar.ru/*	_cse_lmo7aip_90c
forum.topwar.ru/*	_cse_exclude_lmo7aip_90c
*.vko.ru/*	_cse_lmo7aip_90c
*.sci-lib.com/*particle	_cse_exclude_lmo7aip_90c
*.kulina.ru/*rec	_cse_exclude_lmo7aip_90c
*.artrussia.ru/*picture	_cse_exclude_lmo7aip_90c
*.wikireality.ru/*%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD	_cse_exclude_lmo7aip_90c
*.wikia.com/*%D0%A4%D0%B0%D0%B9%D0%BB	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=ivrkorn	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=franvoen	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=englat	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=swedenrus	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=russweden	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=engrusmarket	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=engrusecon	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=rusengecon	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=tolkengecon	_cse_exclude_lmo7aip_90c
rin.ru/*sel=ren	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=mul	_cse_exclude_lmo7aip_90c
rin.ru/*sel=geo	_cse_exclude_lmo7aip_90c
*.rin.ru/*sel=eng	_cse_exclude_lmo7aip_90c
kuklopedia.ru/*%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD	_cse_exclude_lmo7aip_90c
wikia.com/*%D0%A4%D0%B0%D0%B9%D0%BB	_cse_exclude_lmo7aip_90c
*.wikireality.ru/*%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5	_cse_exclude_lmo7aip_90c
*.wikia.com/*%D0%A3%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%B8%D0%BA	_cse_exclude_lmo7aip_90c
*.wikireality.ru/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
*.cyclowiki.org/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
org.ru/*vsinet.swf	_cse_exclude_lmo7aip_90c
*.%D0%B2%D0%BE%D0%BA%D0%B0%D0%B1%D1%83%D0%BB%D0%B0.%D1%80%D1%84/*%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE-	_cse_exclude_lmo7aip_90c
*.%D0%B2%D0%BE%D0%BA%D0%B0%D0%B1%D1%83%D0%BB%D0%B0.%D1%80%D1%84/*-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C	_cse_exclude_lmo7aip_90c
*.ign.com/*preview	_cse_exclude_lmo7aip_90c
wdcb.ru/*news	_cse_exclude_lmo7aip_90c
motorsport.com/*drvcarr	_cse_exclude_lmo7aip_90c
*.parovoz.com/*	_cse_lmo7aip_90c
parovoz.com/phpBB2*	_cse_exclude_lmo7aip_90c
nesusvet.narod.ru/txt*	_cse_exclude_lmo7aip_90c
biometrica.tomsk.ru/*	_cse_lmo7aip_90c
phantom.sannata.ru/*	_cse_lmo7aip_90c
phantom.sannata.ru/forum*	_cse_exclude_lmo7aip_90c
*.upspecial.ru/*	_cse_lmo7aip_90c
*.it-world.ru/*news	_cse_exclude_lmo7aip_90c
*.it-world.ru/*	_cse_lmo7aip_90c
securitylab.ru/virus*	_cse_lmo7aip_90c
securitylab.ru/poc*	_cse_lmo7aip_90c
securitylab.ru/software*	_cse_lmo7aip_90c
iemag.ru/analitics*	_cse_lmo7aip_90c
iemag.ru/researches*	_cse_lmo7aip_90c
iemag.ru/platforms*	_cse_lmo7aip_90c
crn.ru/numbers*	_cse_lmo7aip_90c
*.yurkevich.ru/*glossary	_cse_lmo7aip_90c
magister.msk.ru/library/zines*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library/pushkin*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library/dostoevs*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library/tolstoy*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library/prose*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library/blavatsk*	_cse_exclude_lmo7aip_90c
magister.msk.ru/library*	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/nbadotby*	_cse_lmo7aip_90c
buddhist.ru/buddhist-news*	_cse_exclude_lmo7aip_90c
*.buddhist.ru/*gallery	_cse_exclude_lmo7aip_90c
*.buddhist.ru/*	_cse_lmo7aip_90c
tibet.ru/biblio*	_cse_lmo7aip_90c
znay.ru/news*	_cse_exclude_lmo7aip_90c
znay.ru/rest*	_cse_exclude_lmo7aip_90c
*.znay.ru/*	_cse_lmo7aip_90c
*.tyurma.com/*	_cse_lmo7aip_90c
sunduk.ru/emos/spr*	_cse_exclude_lmo7aip_90c
sunduk.ru/receipts*	_cse_exclude_lmo7aip_90c
photo.sunduk.ru/*	_cse_exclude_lmo7aip_90c
*.sunduk.ru/*	_cse_lmo7aip_90c
*.silanauki.ru/*	_cse_lmo7aip_90c
ceur.ru/library*	_cse_lmo7aip_90c
*.exitt.ru/*news	_cse_exclude_lmo7aip_90c
luzhok.ru/design/gallery*	_cse_exclude_lmo7aip_90c
luzhok.ru/design*	_cse_lmo7aip_90c
*.iso.ru/*document	_cse_lmo7aip_90c
infocity.kiev.ua/*	_cse_lmo7aip_90c
*.cyclowiki.org/*%D0%A6%D0%B8%D0%BA%D0%BB%D0%BE%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
eng_rus_technic.academic.ru/*	_cse_exclude_lmo7aip_90c
quality_control_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
club.cnews.ru/blogs*	_cse_exclude_lmo7aip_90c
military_en_ua.academic.ru/*	_cse_exclude_lmo7aip_90c
sokrat_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
engineering_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
morphem_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
ibm.com/developerworks/ru/library*	_cse_lmo7aip_90c
designformasters.info/posts*	_cse_lmo7aip_90c
wseob.ru/seo*	_cse_lmo7aip_90c
gtmarket.ru/blog*	_cse_exclude_lmo7aip_90c
gtmarket.ru/news*	_cse_exclude_lmo7aip_90c
*.gtmarket.ru/*	_cse_lmo7aip_90c
evartist.narod.ru/works*	_cse_exclude_lmo7aip_90c
komi.com/Folk*	_cse_lmo7aip_90c
*.niv.ru/*	_cse_lmo7aip_90c
forum.textologia.ru/*	_cse_exclude_lmo7aip_90c
event.textologia.ru/*	_cse_exclude_lmo7aip_90c
textologia.ru/slovari/sinonimi*	_cse_exclude_lmo7aip_90c
orf.textologia.ru/*	_cse_exclude_lmo7aip_90c
*.textologia.ru/*	_cse_lmo7aip_90c
slovari.bibliofond.ru/russian_stress_dic*	_cse_exclude_lmo7aip_90c
slovari.bibliofond.ru/dic_udarenie_dic*	_cse_exclude_lmo7aip_90c
lovari.bibliofond.ru/lopatin_word*	_cse_exclude_lmo7aip_90c
slovari.bibliofond.ru/dic_synonims_dic*	_cse_exclude_lmo7aip_90c
slovari.bibliofond.ru/dic_antonyms_dic*	_cse_exclude_lmo7aip_90c
jurterms.ru/anecdote*	_cse_exclude_lmo7aip_90c
guitar.ru/news*	_cse_exclude_lmo7aip_90c
guitar.ru/forum*	_cse_exclude_lmo7aip_90c
guitar.ru/magazin*	_cse_exclude_lmo7aip_90c
guitar.ru/anecdote*	_cse_exclude_lmo7aip_90c
*.guitars.ru/*	_cse_lmo7aip_90c
insur-info.ru/news*	_cse_exclude_lmo7aip_90c
insur-info.ru/forum*	_cse_exclude_lmo7aip_90c
insur-info.ru/overviews*	_cse_exclude_lmo7aip_90c
insur-info.ru/press*	_cse_exclude_lmo7aip_90c
insur-info.ru/pressr*	_cse_exclude_lmo7aip_90c
*.insur-info.ru/*	_cse_lmo7aip_90c
plantopedia.ru/goroscop*	_cse_exclude_lmo7aip_90c
plantopedia.ru/kalendar*	_cse_exclude_lmo7aip_90c
plantopedia.ru/green-world/energetica*	_cse_exclude_lmo7aip_90c
plantopedia.ru/photos*	_cse_exclude_lmo7aip_90c
shop.plantopedia.ru/*	_cse_exclude_lmo7aip_90c
blogs.plantopedia.ru/*	_cse_exclude_lmo7aip_90c
*.plantopedia.ru/*	_cse_lmo7aip_90c
all-yoga.ru/news*	_cse_exclude_lmo7aip_90c
*.all-yoga.ru/*	_cse_lmo7aip_90c
agape-biblia.org/books*	_cse_lmo7aip_90c
agrolib.ru/news*	_cse_exclude_lmo7aip_90c
*.agrolib.ru/*	_cse_lmo7aip_90c
*.all-fizika.com/*	_cse_lmo7aip_90c
pokrovka.narod.ru/Firms*	_cse_exclude_lmo7aip_90c
pokrovka.narod.ru/*	_cse_lmo7aip_90c
*.problems.ru/*	_cse_lmo7aip_90c
mybirds.ru/forums*	_cse_exclude_lmo7aip_90c
*.mybirds.ru/*	_cse_lmo7aip_90c
*.allforchildren.ru/*composer	_cse_lmo7aip_90c
*.allforchildren.ru/*msr	_cse_lmo7aip_90c
allforchildren.ru/scivideo*	_cse_lmo7aip_90c
allforchildren.ru/rasmet*	_cse_lmo7aip_90c
allforchildren.ru/starikovich*	_cse_lmo7aip_90c
allforchildren.ru/polarbear*	_cse_lmo7aip_90c
allforchildren.ru/sci*	_cse_lmo7aip_90c
*.ornithologist.ru/*nov	_cse_exclude_lmo7aip_90c
*.ornithologist.ru/*	_cse_lmo7aip_90c
*.dm-dobrov.ru/*	_cse_lmo7aip_90c
rus-sky.com/history*	_cse_lmo7aip_90c
rus-sky.com/rc*	_cse_lmo7aip_90c
rabkor.ru/columns/edu*	_cse_lmo7aip_90c
rabkor.ru/columns/day-in-history*	_cse_lmo7aip_90c
rabkor.ru/culture*	_cse_lmo7aip_90c
*.batrachospermum.com/*	_cse_lmo7aip_90c
*.biomolecula.ru/*	_cse_lmo7aip_90c
humbio.ru/humbio/forum*	_cse_exclude_lmo7aip_90c
*.humbio.ru/*	_cse_lmo7aip_90c
sbio.info/forums*	_cse_exclude_lmo7aip_90c
sbio.info/news*	_cse_exclude_lmo7aip_90c
*.sbio.info/*	_cse_lmo7aip_90c
old.mirf.ru/News*	_cse_exclude_lmo7aip_90c
old.mirf.ru/*show_files	_cse_exclude_lmo7aip_90c
forum.mirf.ru/*	_cse_exclude_lmo7aip_90c
*.fantlab.ru/*award	_cse_lmo7aip_90c
*.mirf.ru/*	_cse_lmo7aip_90c
mirf.ru/news*	_cse_exclude_lmo7aip_90c
mirf.ru/fun/funny*	_cse_exclude_lmo7aip_90c
mirf.ru/fun/stories*	_cse_exclude_lmo7aip_90c
mirf.ru/media/sci-fi-shorts*	_cse_exclude_lmo7aip_90c
fandom.ru/convent*	_cse_lmo7aip_90c
piligrim-andy.narod.ru/text*	_cse_lmo7aip_90c
tropica.ru/modules/reportaj*	_cse_exclude_lmo7aip_90c
vitawater.ru/news*	_cse_exclude_lmo7aip_90c
sbiblio.com/biblio/content.aspx?dictid=112*	_cse_exclude_lmo7aip_90c
*.knigi.link/*	_cse_lmo7aip_90c
*.operanews.ru/*	_cse_lmo7aip_90c
vokrugsveta.ru/kompot*	_cse_lmo7aip_90c
vokrugsveta.ru/nauka*	_cse_lmo7aip_90c
vokrugsveta.ru/article*	_cse_lmo7aip_90c
vokrugsveta.ru/quiz*	_cse_lmo7aip_90c
cska-hockey.ru/peoples*	_cse_lmo7aip_90c
*.euro-football.ru/*history	_cse_lmo7aip_90c
*.jew-observer.com/*novosti	_cse_exclude_lmo7aip_90c
*.jew-observer.com/*	_cse_lmo7aip_90c
lib.sportedu.ru/*	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/nbamedia*	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/ugolok*	_cse_lmo7aip_90c
hlabs.org/development*	_cse_lmo7aip_90c
www-cs-students.stanford.edu/*/ru/	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/baskettea*	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/nbadotby*	_cse_lmo7aip_90c
*.citforum.ru/*articles	_cse_lmo7aip_90c
kv.by/content*	_cse_lmo7aip_90c
*.linuxformat.ru/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
*.prgssr.ru/*	_cse_lmo7aip_90c
alternativy.ru/ru*	_cse_lmo7aip_90c
rbc.ru/magazine*	_cse_lmo7aip_90c
*.foto-video.ru/*portfolio	_cse_exclude_lmo7aip_90c
foto-video.ru/fv-presentation*	_cse_exclude_lmo7aip_90c
*.foto-video.ru/*report	_cse_exclude_lmo7aip_90c
*.foto-video.ru/*	_cse_lmo7aip_90c
medical_big_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
short_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
icao_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
aviation_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
military_en_ru.academic.ru/*	_cse_exclude_lmo7aip_90c
cnews.ru/forum*	_cse_exclude_lmo7aip_90c
cnews.ru/games*	_cse_exclude_lmo7aip_90c
slovari.yandex.ru/*en-ru	_cse_exclude_lmo7aip_90c
kino-teatr.ru/kino/art*	_cse_lmo7aip_90c
exler.ru/expromt*	_cse_lmo7aip_90c
ekranka.ru/forum*	_cse_exclude_lmo7aip_90c
ageofgeeks.com/comics*	_cse_lmo7aip_90c
ageofgeeks.com/books*	_cse_lmo7aip_90c
*.25-k.com/*forums	_cse_exclude_lmo7aip_90c
nashfilm.ru/news*	_cse_exclude_lmo7aip_90c
nashfilm.ru/kinonews*	_cse_exclude_lmo7aip_90c
nashfilm.ru/premiers*	_cse_exclude_lmo7aip_90c
*.gamer-info.com/*obzor	_cse_lmo7aip_90c
stopgame.ru/analytics*	_cse_lmo7aip_90c
*.upweek.ru/*novosti	_cse_exclude_lmo7aip_90c
ru.pcmag.com/*	_cse_lmo7aip_90c
*.belousenko.com/*wr_	_cse_lmo7aip_90c
novsu.ru/npe/files*	_cse_lmo7aip_90c
*.frazeologiya.ru/*	_cse_lmo7aip_90c
sibnovosti.ru/dossiers*	_cse_lmo7aip_90c
*.provizorii.ru/*%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5	_cse_exclude_lmo7aip_90c
*.provizorii.ru/*%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD	_cse_exclude_lmo7aip_90c
*.provizorii.ru/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
*.mediasprut.ru/*/de/	_cse_exclude_lmo7aip_90c
mediasprut.ru/info*	_cse_lmo7aip_90c
*.panorama.ru/*	_cse_lmo7aip_90c
*.anticompromat.org/*	_cse_lmo7aip_90c
vokrug.tv/person*	_cse_lmo7aip_90c
lib.fedpress.ru/company*	_cse_exclude_lmo7aip_90c
lib.fedpress.ru/*	_cse_lmo7aip_90c
whoiswho.dp.ru/cart/person*	_cse_lmo7aip_90c
newslab.ru/info/dossier/*	_cse_lmo7aip_90c
uznayvse.ru/interesting-facts*	_cse_lmo7aip_90c
uznayvse.ru/voprosyi*	_cse_lmo7aip_90c
uznayvse.ru/znamenitosti*	_cse_lmo7aip_90c
24smi.org/celebrity*	_cse_lmo7aip_90c
gazeta.ru/tags*	_cse_lmo7aip_90c
*.traditio.wiki/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
calendar.fontanka.ru/*	_cse_exclude_lmo7aip_90c
zr.ru/corp*	_cse_exclude_lmo7aip_90c
scientificrussia.ru/life*	_cse_lmo7aip_90c
zr.ru/tags*	_cse_exclude_lmo7aip_90c
portal-kultura.ru/articles/bolshaya-igra*	_cse_exclude_lmo7aip_90c
stalinism.ru/listaya-staryie-gazetyi*	_cse_lmo7aip_90c
*.souz.info/*	_cse_lmo7aip_90c
wsws.org/ru*	_cse_lmo7aip_90c
*.left.ru/*	_cse_lmo7aip_90c
communi.ru/forums*	_cse_exclude_lmo7aip_90c
*.communi.ru/*	_cse_lmo7aip_90c
*.kara-murza.ru/*	_cse_lmo7aip_90c
forum-msk.org/vernost_leninu*	_cse_lmo7aip_90c
warandpeace.ru/ru/exclusive*	_cse_lmo7aip_90c
bykov.socionet.ru/public*	_cse_lmo7aip_90c
rrpolit.narod.ru/*	_cse_lmo7aip_90c
pr-engineering.narod.ru/*	_cse_lmo7aip_90c
*.arctogaia.com/*	_cse_lmo7aip_90c
gvv.rcoit.ru/*	_cse_lmo7aip_90c
*.politnauka.org/*	_cse_lmo7aip_90c
*.politanaliz.ru/*articles	_cse_lmo7aip_90c
grachev62.narod.ru/*	_cse_lmo7aip_90c
alestep.narod.ru/*	_cse_lmo7aip_90c
globalaffairs.ru/event*	_cse_exclude_lmo7aip_90c
*.globalaffairs.ru/*	_cse_lmo7aip_90c
sports.ru/tribuna/blogs/spursmania*	_cse_lmo7aip_90c
*.intertrends.ru/*	_cse_lmo7aip_90c
lebed.com/gbarch*	_cse_exclude_lmo7aip_90c
zona.media/agenda*	_cse_lmo7aip_90c
zona.media/story*	_cse_lmo7aip_90c
*.zlev.ru/*	_cse_lmo7aip_90c
*.rlsnet.ru/*hos_	_cse_exclude_lmo7aip_90c
kolesa.ru/dealer*	_cse_exclude_lmo7aip_90c
*.actualhistory.ru/*	_cse_lmo7aip_90c
*.compromatwiki.org/*%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0	_cse_exclude_lmo7aip_90c
*.compromatwiki.org/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
en.compromatwiki.org/*	_cse_exclude_lmo7aip_90c
*.compromatwiki.org/*	_cse_lmo7aip_90c
meduza.io/cards*	_cse_lmo7aip_90c
meduza.io/articles*	_cse_lmo7aip_90c
*.inliberty.ru/*	_cse_lmo7aip_90c
slovonline.ru/slovar_el_slova_odnokorennue*	_cse_exclude_lmo7aip_90c
slovonline.ru/slovar_el_opechatka*	_cse_exclude_lmo7aip_90c
slovari.yandex.ru/~%D0%BA%D0%BD%D0%B8%D0%B3%D0%B8/%D0%9E%D1%80%D1%84%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C*	_cse_exclude_lmo7aip_90c
*.pcweek.ru/*news	_cse_exclude_lmo7aip_90c
*.sbup.com/*%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F	_cse_exclude_lmo7aip_90c
neuroscience.ru/articles/%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8*	_cse_lmo7aip_90c
smb.ixbt.com/news*	_cse_exclude_lmo7aip_90c
ixbt.com/news*	_cse_exclude_lmo7aip_90c
cnews.ru/news*	_cse_exclude_lmo7aip_90c
medi.ru/news*	_cse_exclude_lmo7aip_90c
*.medi.ru/*	_cse_lmo7aip_90c
*.ageofgeeks.com/*preview	_cse_exclude_lmo7aip_90c
*.playground.ru/*prevyu	_cse_exclude_lmo7aip_90c
games.mail.ru/*preview	_cse_exclude_lmo7aip_90c
*.meownauts.com/*preview	_cse_exclude_lmo7aip_90c
*.meownauts.com/*multiplayer	_cse_exclude_lmo7aip_90c
*.gamemag.ru/*opinions	_cse_exclude_lmo7aip_90c
*.disgustingmen.com/*preview	_cse_exclude_lmo7aip_90c
